 	1	2	3	4	5	6	7
1	15	15	15	15	15	15	5
2	10	10	10	10	10	NA	NA
3	22	21	20	20	20	20	NA
4	15	10	10	10	NA	NA	NA
5	13	13	10	10	NA	NA	NA
6	15	10	10	10	10	NA	NA
7	15	15	15	15	15	10	NA
8	10	10	10	10	10	NA	NA
9	10	10	10	10	10	NA	NA
10	15	10	NA	NA	NA	NA	NA
11	10	5	NA	NA	NA	NA	NA
12	15	15	10	10	10	10	10
13	50	35	32	28	NA	NA	NA
14	10	10	NA	NA	NA	NA	NA
15	10	10	10	6	NA	NA	NA
16	15	10	10	NA	NA	NA	NA
17	10	10	10	10	NA	NA	NA
18	20	11	NA	NA	NA	NA	NA
19	10	10	10	NA	NA	NA	NA
20	15	10	10	10	NA	NA	NA
21	10	10	NA	NA	NA	NA	NA
22	15	10	NA	NA	NA	NA	NA
23	20	20	20	20	NA	NA	NA
24	20	20	17	10	NA	NA	NA
25	10	10	7	NA	NA	NA	NA
26	20	10	NA	NA	NA	NA	NA
27	36	30	30	30	NA	NA	NA
28	12	13	NA	NA	NA	NA	NA
29	10	10	NA	NA	NA	NA	NA
30	22	20	20	NA	NA	NA	NA
31	11	10	10	NA	NA	NA	NA
32	20	20	20	12	NA	NA	NA
33	10	5	NA	NA	NA	NA	NA
34	15	10	NA	NA	NA	NA	NA
35	20	20	20	10	NA	NA	NA
36	20	15	10	NA	NA	NA	NA
37	25	20	10	NA	NA	NA	NA
38	10	10	NA	NA	NA	NA	NA
39	15	NA	NA	NA	NA	NA	NA
40	20	10	10	NA	NA	NA	NA
41	20	12	NA	NA	NA	NA	NA
42	15	13	NA	NA	NA	NA	NA
