 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	0	632	2322	1796	1811	1797	1790	1422	1589	631	1987	1953	1844	1240	690	1488
2	651	0	2008	1482	1496	1481	1476	1226	979	2	1509	1640	1609	1073	754	1172
3	2306	1991	0	612	560	571	612	1188	1488	1991	790	485	923	1387	1781	898
4	1790	1475	617	0	49	45	22	746	879	1477	193	164	794	956	1265	458
5	1804	1489	582	45	0	20	62	724	939	1489	230	130	785	922	1279	433
6	1792	1477	569	42	20	0	50	712	927	1477	232	145	773	910	1267	421
7	1789	1474	630	20	60	53	0	754	876	1474	206	178	791	944	1264	455
8	1399	1217	1200	747	762	747	740	0	1365	1217	938	799	451	200	760	349
9	1616	976	1498	886	927	939	884	1315	0	976	769	1045	1609	1394	1409	1138
10	651	2	2008	1482	1498	1483	1476	1227	981	0	1511	1640	1610	1077	754	1174
11	1978	1504	784	189	226	228	202	934	794	1504	0	332	980	1142	1452	644
12	1939	1624	474	153	122	149	172	788	1030	1596	331	0	849	986	1385	497
13	1765	1620	931	792	786	771	785	449	1600	1620	983	812	0	566	1158	565
14	1215	1070	1394	941	957	942	935	201	1396	1069	1132	993	567	0	576	523
15	676	747	1799	1247	1289	1274	1267	748	1421	747	1465	1431	1154	566	0	965
16	1480	1165	906	454	435	420	447	347	1120	1165	645	506	557	536	955	0
