 	1	2	3	4	5	6	7	8	9	10	11	12
1	44	47	32	758	880	1487	190	156	803	957	1274	467
2	59	57	31	762	874	1492	190	177	809	962	1280	473
3	37	42	36	758	893	1487	199	147	801	957	1288	452
4	53	58	37	766	881	1492	188	160	818	966	1284	473
5	33	40	34	755	891	1485	205	146	799	955	1273	466
6	47	45	19	750	876	1479	191	164	796	949	1267	460
7	59	55	32	762	877	1491	186	168	809	961	1280	472
8	44	50	35	760	892	1489	194	153	806	959	1277	470
9	63	63	43	773	888	1502	183	163	819	972	1290	483
10	42	46	40	755	887	1485	192	152	802	950	1273	466
11	93	91	44	727	852	1456	230	210	775	926	1244	437
12	24	41	75	762	932	1526	233	111	807	996	1314	455
13	934	939	890	1292	30	952	813	1051	1615	1371	1395	1141
14	768	773	725	1239	241	1111	517	886	1450	1364	1486	1007
15	1146	1131	1124	1008	522	458	1052	1287	1387	1086	1047	862
16	318	320	295	1026	679	1432	80	424	1073	1225	1388	737
17	162	147	140	575	955	1364	338	257	658	774	1153	285
18	125	142	176	781	1033	1584	335	8	842	979	1372	490
19	312	329	363	920	1220	1724	522	190	823	1119	1512	630
20	304	321	354	950	1211	1753	288	182	924	1148	1541	659
21	451	455	428	1089	547	1307	213	557	1242	1214	1397	803
22	259	264	215	892	662	1371	231	376	940	1091	1230	602
23	744	761	794	1352	1652	2155	953	622	1005	1550	1943	1061
24	599	589	649	1207	1507	2010	808	477	1120	1405	1798	916
25	649	634	665	878	1543	1814	854	596	434	995	1534	658
26	567	558	618	1175	1475	1978	558	445	1089	1374	1767	885
27	430	416	435	321	1139	1184	641	502	531	501	925	37
28	1049	1034	1027	295	1666	1360	1224	1086	475	305	744	635
29	519	504	531	268	1335	1280	728	590	487	457	968	131
30	799	783	798	430	1612	1602	995	824	22	548	1106	547
31	1486	1472	1465	1216	969	9	1500	1628	1599	1064	722	1163
32	940	925	918	182	1379	1076	1116	976	547	22	580	507
33	764	748	742	6	1317	1217	939	801	446	195	753	350
34	471	455	486	1009	1364	1812	675	417	598	1216	1600	718
35	478	463	494	786	892	1779	683	425	473	959	1277	587
36	998	982	976	727	938	519	1173	1139	1110	574	496	673
37	468	453	467	611	1281	1565	664	493	316	860	1285	409
38	267	252	267	561	1081	1490	464	338	525	785	1279	302
39	564	581	614	1172	1471	1975	773	442	938	1370	1763	881
40	1286	1270	1264	768	1417	726	1461	1427	1168	585	2	961
41	301	286	317	731	1195	1643	506	248	568	1038	1431	549
42	625	610	603	386	931	870	801	767	768	464	658	301
