 	1	2	3	4
1	1802	1487	608	13
2	1806	1492	629	18
3	1802	1489	600	30
4	1810	1496	613	22
5	1799	1485	598	15
6	1794	1479	616	6
7	1806	1491	620	18
8	1804	1489	606	16
9	1817	1502	616	29
10	1799	1485	604	12
11	1771	1456	663	55
12	1841	1526	563	56
13	1592	952	1504	892
14	1751	1111	1338	727
15	1098	458	1656	1130
16	1915	1432	874	279
17	1679	1352	658	147
18	1899	1584	462	157
19	2038	1724	276	344
20	2068	1753	472	335
21	1923	1307	1011	416
22	1757	1371	829	217
23	2470	2155	188	775
24	2325	2010	121	630
25	2129	1814	621	663
26	2293	1978	328	599
27	1499	1184	894	441
28	1403	1360	1397	1033
29	1595	1280	990	537
30	1747	1602	943	804
31	651	9	1997	1471
32	1221	1076	1377	930
33	1394	1217	1201	748
34	2127	1812	326	484
35	1804	1489	461	492
36	834	519	1508	982
37	1880	1565	628	473
38	1805	1490	612	273
39	2290	1975	18	595
40	655	724	1795	1270
41	1958	1643	444	315
42	1185	870	1135	609
