 	1	2	3	4	5	6	7
1	9	9	9	9	9	9	9
2	9	9	9	9	9	9	9
3	14	14	14	14	14	14	14
4	14	14	14	14	14	14	14
5	18	18	18	18	18	18	18
6	18	18	18	18	18	18	18
7	18	18	18	18	18	18	18
8	18	18	18	18	18	18	18
9	18	18	18	18	18	18	18
10	18	18	18	18	18	18	18
11	18	18	18	18	18	18	18
12	18	18	18	18	18	18	18
13	18	18	18	18	18	18	18
14	18	18	18	18	18	18	18
15	18	18	18	18	18	18	18
16	18	18	18	18	18	18	18
17	10	10	10	10	10	10	10
18	10	10	10	10	10	10	10
19	10	10	10	10	10	10	10
20	10	10	10	10	10	10	10
21	10	10	10	10	10	10	10
22	10	10	10	10	10	10	10
23	10	10	10	10	10	10	10
24	10	10	10	10	10	10	10
25	10	10	10	10	10	10	10
26	10	10	10	10	10	10	10
27	10	10	10	10	10	10	10
28	10	10	10	10	10	10	10
29	10	10	10	10	10	10	10
30	10	10	10	10	10	10	10
31	10	10	10	10	10	10	10
32	10	10	10	10	10	10	10
33	10	10	10	10	10	10	10
34	10	10	10	10	10	10	10
35	10	10	10	10	10	10	10
36	10	10	10	10	10	10	10
37	10	10	10	10	10	10	10
38	10	10	10	10	10	10	10
39	10	10	10	10	10	10	10
40	10	10	10	10	10	10	10
41	10	10	10	10	10	10	10
42	10	10	10	10	10	10	10
43	10	10	10	10	10	10	10
44	10	10	10	10	10	10	10
45	10	10	10	10	10	10	10
46	10	10	10	10	10	10	10
47	10	10	10	10	10	10	10
48	10	10	10	10	10	10	10
49	10	10	10	10	10	10	10
50	10	10	10	10	10	10	10
51	10	10	10	10	10	10	10
52	10	10	10	10	10	10	10
53	10	10	10	10	10	10	10
54	10	10	10	10	10	10	10
55	10	10	10	10	10	10	10
56	10	10	10	10	10	10	10
57	10	10	10	10	10	10	10
58	10	10	10	10	10	10	10
